id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
757320,NICE ROOM ON CENTRAL SÖDERMALM,3987989,Barb,,Södermalms,59.31763,18.06009,Private room,704,3,183,2019-09-22,2.32,1,179
763407,Cozy flat in central Stockholm,3549257,Gabriella,,Norrmalms,59.34417,18.05146,Entire home/apt,949,3,91,2019-09-01,1.15,1,27
770995,Fin lägenhet på nedre Kungsholmen.,4067436,Peter,,Kungsholmens,59.33064,18.04576,Entire home/apt,3855,3,13,2019-06-03,0.33,1,362
776012,Old town flat with a fantastic view,4093218,Majken,,Södermalms,59.32412,18.0709,Entire home/apt,910,1,45,2019-09-01,0.56,1,0
776155,Unique exclusive quiet penthouse/loft,3963441,Ann-Sofie,,Norrmalms,59.34313,18.05264,Entire home/apt,1800,5,22,2018-10-09,0.27,1,164
785218,Unique 3 floor Town House,4139711,Fredrik,,Kungsholmens,59.32115,17.99498,Entire home/apt,1790,5,10,2019-08-10,0.13,1,106
791812,Beautiful room for vacation rental.,1631563,John,,Östermalms,59.34485,18.10879,Private room,479,1,0,,,1,0
795354,"Exclusive apartment, best location",3972727,Gustav,,Norrmalms,59.33989,18.06128,Entire home/apt,1370,1,49,2019-09-02,0.66,1,353
819676,"Lux penthouse stay: shopping, nightlife & old town",4304976,Andy & Vannie,,Södermalms,59.31736,18.07098,Private room,626,3,232,2019-09-14,5.74,1,42
819749,Lovely stay in Stockholm Sodermalm,4182269,Carl-Johan,,Södermalms,59.30977,18.08496,Entire home/apt,802,1,1,2016-06-24,0.03,1,0
822497,Apartment for six with a terrace!,4319402,Moa,,Hägersten-Liljeholmens,59.29766,17.98345,Entire home/apt,1497,2,38,2019-07-29,0.48,1,362
838442,19th century apartm in city centre,4380521,Joakim,,Norrmalms,59.33496,18.05625,Entire home/apt,1859,1,40,2019-08-18,0.93,4,0
845365,"Room near forest park, 300 meter from the subway!",4174933,Mae Jane,,Skärholmens,59.29558,17.92814,Private room,1996,1,29,2018-07-09,0.46,2,0
854975,Best apartment Odenplan,600840,Sergej,,Norrmalms,59.34435,18.04479,Entire home/apt,1164,3,23,2019-08-30,0.28,1,0
858902,Single room-city centre of Sthlm G,4495747,Lotta,,Östermalms,59.33818,18.08458,Private room,724,4,36,2019-09-15,0.46,2,63
